t(s),cat,react1,react2,int1,int2,int3,prod,water
1.08000000e+05,4.81285604e-07,1.38133356e-01,1.38442673e-01,6.18634191e-04,2.37820977e-05,5.99046823e-01,1.23734251e-01,0.00000000e+00
1.09000000e+05,4.85290588e-07,1.37559200e-01,1.37869794e-01,6.21189340e-04,2.37815078e-05,5.99042979e-01,1.24882571e-01,0.00000000e+00
1.10000000e+05,4.89345672e-07,1.36985047e-01,1.37296930e-01,6.23765572e-04,2.37809113e-05,5.99039103e-01,1.26030884e-01,0.00000000e+00
1.11000000e+05,4.93451692e-07,1.36410899e-01,1.36724081e-01,6.26363149e-04,2.37803080e-05,5.99035195e-01,1.27179189e-01,0.00000000e+00
1.12000000e+05,4.97609504e-07,1.35836754e-01,1.36151246e-01,6.28982334e-04,2.37796978e-05,5.99031254e-01,1.28327486e-01,0.00000000e+00
1.13000000e+05,5.01819981e-07,1.35262614e-01,1.35578425e-01,6.31623398e-04,2.37790807e-05,5.99027280e-01,1.29475776e-01,0.00000000e+00
1.14000000e+05,5.06084015e-07,1.34688477e-01,1.35005620e-01,6.34286615e-04,2.37784564e-05,5.99023273e-01,1.30624059e-01,0.00000000e+00
1.15000000e+05,5.10402515e-07,1.34114344e-01,1.34432830e-01,6.36972261e-04,2.37778250e-05,5.99019233e-01,1.31772333e-01,0.00000000e+00
1.16000000e+05,5.14776412e-07,1.33540215e-01,1.33860055e-01,6.39680622e-04,2.37771862e-05,5.99015158e-01,1.32920600e-01,0.00000000e+00
1.17000000e+05,5.19206656e-07,1.32966090e-01,1.33287296e-01,6.42411984e-04,2.37765400e-05,5.99011048e-01,1.34068859e-01,0.00000000e+00
1.18000000e+05,5.23694216e-07,1.32391969e-01,1.32714552e-01,6.45166640e-04,2.37758862e-05,5.99006903e-01,1.35217110e-01,0.00000000e+00
1.19000000e+05,5.28240083e-07,1.31817852e-01,1.32141824e-01,6.47944888e-04,2.37752247e-05,5.99002723e-01,1.36365353e-01,0.00000000e+00
1.20000000e+05,5.32845271e-07,1.31243739e-01,1.31569112e-01,6.50747031e-04,2.37745554e-05,5.98998506e-01,1.37513588e-01,0.00000000e+00
1.21000000e+05,5.37510813e-07,1.30669630e-01,1.30996417e-01,6.53573376e-04,2.37738782e-05,5.98994253e-01,1.38661815e-01,0.00000000e+00
1.22000000e+05,5.42237768e-07,1.30095525e-01,1.30423738e-01,6.56424237e-04,2.37731929e-05,5.98989964e-01,1.39810034e-01,0.00000000e+00
1.23000000e+05,5.47027214e-07,1.29521425e-01,1.29851075e-01,6.59299933e-04,2.37724994e-05,5.98985636e-01,1.40958244e-01,0.00000000e+00
1.24000000e+05,5.51880256e-07,1.28947329e-01,1.29278429e-01,6.62200787e-04,2.37717976e-05,5.98981271e-01,1.42106446e-01,0.00000000e+00
