t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
6.85000000e-03,9.00000000e+02,9.34438051e+04,1.12918226e-01,1.12918226e-07,1.00000000e-06,3.14067942e+06,-1.15305513e-07,-1.15226583e-07,-3.57569015e-08,-3.56779720e-08,
7.30000000e-03,9.00000000e+02,9.34137437e+04,1.12901630e-01,1.12901630e-07,1.00000000e-06,3.13747461e+06,-1.15305513e-07,-1.15226375e-07,-3.81308890e-08,-3.80517516e-08,
7.75000000e-03,9.00000000e+02,9.33848058e+04,1.12884976e-01,1.12884976e-07,1.00000000e-06,3.13441087e+06,-1.15305513e-07,-1.15225976e-07,-3.84139699e-08,-3.83344328e-08,
8.20000000e-03,9.00000000e+02,9.33569185e+04,1.12868245e-01,1.12868245e-07,1.00000000e-06,3.13148018e+06,-1.15305513e-07,-1.15225783e-07,-3.76031269e-08,-3.75233974e-08,
8.65000000e-03,9.00000000e+02,9.33300197e+04,1.12851418e-01,1.12851418e-07,1.00000000e-06,3.12867546e+06,-1.15305513e-07,-1.15225413e-07,-3.74996206e-08,-3.74195206e-08,
9.10000000e-03,9.00000000e+02,9.33040502e+04,1.12834485e-01,1.12834485e-07,1.00000000e-06,3.12598991e+06,-1.15305513e-07,-1.15225234e-07,-3.79485360e-08,-3.78682574e-08,
9.55000000e-03,9.00000000e+02,9.32789574e+04,1.12817434e-01,1.12817434e-07,1.00000000e-06,3.12341754e+06,-1.15305513e-07,-1.15224889e-07,-3.83725664e-08,-3.82919431e-08,
1.00000000e-02,9.00000000e+02,9.32546912e+04,1.12800257e-01,1.12800257e-07,1.00000000e-06,3.12095267e+06,-1.15305513e-07,-1.15224723e-07,-3.77079819e-08,-3.76271920e-08,
1.45000000e-02,9.00000000e+02,9.30491114e+04,1.12620767e-01,1.12620767e-07,1.00000000e-06,3.10121888e+06,-1.15305513e-07,-1.15222546e-07,-4.07802832e-08,-4.06973160e-08,
1.90000000e-02,9.00000000e+02,9.28927398e+04,1.12427204e-01,1.12427204e-07,1.00000000e-06,3.08818862e+06,-1.15305513e-07,-1.15220993e-07,-3.99566840e-08,-3.98721639e-08,
2.35000000e-02,9.00000000e+02,9.27689913e+04,1.12221565e-01,1.12221565e-07,1.00000000e-06,3.07974997e+06,-1.15305513e-07,-1.15219907e-07,-4.58205421e-08,-4.57349367e-08,
2.80000000e-02,9.00000000e+02,9.26685770e+04,1.12006383e-01,1.12006383e-07,1.00000000e-06,3.07463216e+06,-1.15305513e-07,-1.15218805e-07,-4.90287544e-08,-4.89420465e-08,
3.25000000e-02,9.00000000e+02,9.25846273e+04,1.11783979e-01,1.11783979e-07,1.00000000e-06,3.07192754e+06,-1.15305513e-07,-1.15218065e-07,-5.73960946e-08,-5.73086467e-08,
3.70000000e-02,9.00000000e+02,9.25126080e+04,1.11556254e-01,1.11556254e-07,1.00000000e-06,3.07104518e+06,-1.15305513e-07,-1.15217272e-07,-6.60458228e-08,-6.59575823e-08,
4.15000000e-02,9.00000000e+02,9.24499396e+04,1.11324790e-01,1.11324790e-07,1.00000000e-06,3.07156030e+06,-1.15305513e-07,-1.15216721e-07,-4.85204992e-08,-4.84317080e-08,
4.60000000e-02,9.00000000e+02,9.23944055e+04,1.11090810e-01,1.11090810e-07,1.00000000e-06,3.07314240e+06,-1.15305513e-07,-1.15216042e-07,-5.07382021e-08,-5.06487312e-08,
5.05000000e-02,9.00000000e+02,9.23444344e+04,1.10855297e-01,1.10855297e-07,1.00000000e-06,3.07554895e+06,-1.15305513e-07,-1.15215610e-07,-4.36662948e-08,-4.35763923e-08,
5.50000000e-02,9.00000000e+02,9.23014308e+04,1.10619112e-01,1.10619112e-07,1.00000000e-06,3.07873586e+06,-1.15305513e-07,-1.15215266e-07,-5.51757668e-08,-5.50855198e-08,
