z(m),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
4.150000e-06,1.080634e-08,3.568127e-01,6.610973e-04,4.239341e-07,1.037892e-07,9.659220e-05,6.424290e-01,1.937832e-09,4.446118e-01,2.589207e-04,2.226487e-06,1.369795e-02,6.066561e-05,5.413684e-01
4.600000e-06,1.196171e-08,3.567929e-01,6.955411e-04,4.239102e-07,1.104001e-07,1.015902e-04,6.424094e-01,2.142626e-09,4.443941e-01,2.692682e-04,2.233855e-06,1.369911e-02,6.239967e-05,5.415729e-01
5.050000e-06,1.311436e-08,3.567740e-01,7.282852e-04,4.238874e-07,1.169938e-07,1.063410e-04,6.423909e-01,2.347075e-09,4.441824e-01,2.792874e-04,2.241013e-06,1.370194e-02,6.406898e-05,5.417701e-01
5.500000e-06,1.426439e-08,3.567557e-01,7.595530e-04,4.238658e-07,1.235709e-07,1.108770e-04,6.423733e-01,2.551189e-09,4.439760e-01,2.890111e-04,2.247985e-06,1.370623e-02,6.567986e-05,5.419609e-01
5.950000e-06,1.541187e-08,3.567380e-01,7.895148e-04,4.238451e-07,1.301320e-07,1.152230e-04,6.423567e-01,2.754975e-09,4.437743e-01,2.984665e-04,2.254789e-06,1.371180e-02,6.723760e-05,5.421459e-01
6.400000e-06,1.655686e-08,3.567209e-01,8.183227e-04,4.238253e-07,1.366775e-07,1.194011e-04,6.423408e-01,2.958440e-09,4.435771e-01,3.076778e-04,2.261441e-06,1.371852e-02,6.874688e-05,5.423257e-01
6.850000e-06,1.769943e-08,3.567044e-01,8.460935e-04,4.238064e-07,1.432078e-07,1.234283e-04,6.423255e-01,3.161592e-09,4.433838e-01,3.166651e-04,2.267956e-06,1.372624e-02,7.021160e-05,5.425008e-01
7.300000e-06,1.883964e-08,3.566882e-01,8.729291e-04,4.237882e-07,1.497233e-07,1.273194e-04,6.423110e-01,3.364436e-09,4.431942e-01,3.254465e-04,2.274345e-06,1.373486e-02,7.163527e-05,5.426716e-01
7.750000e-06,1.997752e-08,3.566724e-01,8.989129e-04,4.237708e-07,1.562243e-07,1.310864e-04,6.422970e-01,3.566979e-09,4.430080e-01,3.340372e-04,2.280620e-06,1.374429e-02,7.302085e-05,5.428384e-01
8.200000e-06,2.111313e-08,3.566570e-01,9.241187e-04,4.237540e-07,1.627112e-07,1.347402e-04,6.422835e-01,3.769225e-09,4.428249e-01,3.424512e-04,2.286788e-06,1.375443e-02,7.437102e-05,5.430016e-01
8.650000e-06,2.224652e-08,3.566420e-01,9.486093e-04,4.237378e-07,1.691841e-07,1.382898e-04,6.422705e-01,3.971181e-09,4.426447e-01,3.507005e-04,2.292859e-06,1.376523e-02,7.568816e-05,5.431614e-01
9.100000e-06,2.337772e-08,3.566272e-01,9.724396e-04,4.237222e-07,1.756434e-07,1.417433e-04,6.422580e-01,4.172849e-09,4.424673e-01,3.587961e-04,2.298839e-06,1.377661e-02,7.697437e-05,5.433180e-01
9.550000e-06,2.450678e-08,3.566128e-01,9.956580e-04,4.237072e-07,1.820893e-07,1.451076e-04,6.422458e-01,4.374236e-09,4.422924e-01,3.667478e-04,2.304735e-06,1.378852e-02,7.823156e-05,5.434718e-01
1.000000e-05,2.563373e-08,3.565986e-01,1.018307e-03,4.236928e-07,1.885220e-07,1.483890e-04,6.422341e-01,4.575346e-09,4.421199e-01,3.745643e-04,2.310553e-06,1.380092e-02,7.946143e-05,5.436229e-01
1.450000e-05,3.679387e-08,3.564676e-01,1.220204e-03,4.235726e-07,2.521653e-07,1.776170e-04,6.421339e-01,6.571960e-09,4.405009e-01,4.467407e-04,2.365344e-06,1.394332e-02,9.053968e-05,5.450161e-01
1.900000e-05,4.777134e-08,3.563503e-01,1.390657e-03,4.234875e-07,3.146621e-07,2.022553e-04,6.420560e-01,8.544200e-09,4.390230e-01,5.110472e-04,2.415859e-06,1.410386e-02,9.998929e-05,5.462597e-01
2.350000e-05,5.858315e-08,3.562418e-01,1.540385e-03,4.234289e-07,3.761124e-07,2.238627e-04,6.419931e-01,1.049415e-08,4.376429e-01,5.700588e-04,2.463637e-06,1.427070e-02,1.083173e-04,5.474055e-01
2.800000e-05,6.924219e-08,3.561392e-01,1.675124e-03,4.233918e-07,4.365907e-07,2.432736e-04,6.419415e-01,1.242345e-08,4.363371e-01,6.252229e-04,2.509492e-06,1.443820e-02,1.158117e-04,5.484812e-01
3.250000e-05,7.975804e-08,3.560411e-01,1.798362e-03,4.233727e-07,4.961521e-07,2.609961e-04,6.418986e-01,1.433328e-08,4.350909e-01,6.774422e-04,2.553908e-06,1.460346e-02,1.226545e-04,5.495029e-01
3.700000e-05,9.013871e-08,3.559464e-01,1.912418e-03,4.233692e-07,5.548423e-07,2.773674e-04,6.418627e-01,1.622465e-08,4.338950e-01,7.273239e-04,2.597190e-06,1.476495e-02,1.289698e-04,5.504812e-01
4.150000e-05,1.003910e-07,3.558545e-01,2.018921e-03,4.233793e-07,6.127005e-07,2.926254e-04,6.418328e-01,1.809841e-08,4.327423e-01,7.752977e-04,2.639546e-06,1.492185e-02,1.348469e-04,5.514230e-01
4.600000e-05,1.105208e-07,3.557648e-01,2.119068e-03,4.234017e-07,6.697602e-07,3.069445e-04,6.418080e-01,1.995529e-08,4.316280e-01,8.216788e-04,2.681120e-06,1.507376e-02,1.403522e-04,5.523335e-01
5.050000e-05,1.205336e-07,3.556770e-01,2.213777e-03,4.234351e-07,7.260526e-07,3.204587e-04,6.417875e-01,2.179596e-08,4.305481e-01,8.667084e-04,2.722020e-06,1.522052e-02,1.455372e-04,5.532164e-01
5.500000e-05,1.304341e-07,3.555907e-01,2.303763e-03,4.234784e-07,7.816058e-07,3.332724e-04,6.417709e-01,2.362104e-08,4.294996e-01,9.105732e-04,2.762323e-06,1.536214e-02,1.504426e-04,5.540745e-01
5.950000e-05,1.402266e-07,3.555058e-01,2.389596e-03,4.235309e-07,8.364442e-07,3.454691e-04,6.417577e-01,2.543104e-08,4.284799e-01,9.534207e-04,2.802090e-06,1.549871e-02,1.551013e-04,5.549100e-01
