z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
8.55000000e-07,5.18345328e-06,2.95467264e-01,2.45746137e-02,7.23366220e-07,1.10614455e-05,1.78147632e-03,6.78159678e-01,1.06819964e-06,2.85413789e-01,2.44914183e-02,1.68737227e-05,2.24752299e-02,6.47629047e-04,6.66953992e-01
8.65000000e-07,5.21583082e-06,2.95114112e-01,2.47264133e-02,7.25428560e-07,1.10664007e-05,1.78514874e-03,6.78357319e-01,1.07492954e-06,2.85027254e-01,2.46525749e-02,1.69310702e-05,2.24692098e-02,6.48878565e-04,6.67184077e-01
8.75000000e-07,5.24798399e-06,2.94764315e-01,2.48773573e-02,7.27470020e-07,1.10710952e-05,1.78877190e-03,6.78552509e-01,1.08161251e-06,2.84645077e-01,2.48127383e-02,1.69877396e-05,2.24630991e-02,6.50111621e-04,6.67410905e-01
8.85000000e-07,5.27991651e-06,2.94417809e-01,2.50274585e-02,7.29490930e-07,1.10755379e-05,1.79234693e-03,6.78745300e-01,1.08824933e-06,2.84267158e-01,2.49719249e-02,1.70437445e-05,2.24569013e-02,6.51328589e-04,6.67634555e-01
8.95000000e-07,5.31163200e-06,2.94074533e-01,2.51767295e-02,7.31491615e-07,1.10797376e-05,1.79587493e-03,6.78935740e-01,1.09484077e-06,2.83893400e-01,2.51301510e-02,1.70990981e-05,2.24506196e-02,6.52529829e-04,6.67855105e-01
9.05000000e-07,5.34313399e-06,2.93734424e-01,2.53251825e-02,7.33472394e-07,1.10837026e-05,1.79935697e-03,6.79123876e-01,1.10138756e-06,2.83523709e-01,2.52874321e-02,1.71538134e-05,2.24442570e-02,6.53715688e-04,6.68072631e-01
9.15000000e-07,5.37442591e-06,2.93397426e-01,2.54728293e-02,7.35433575e-07,1.10874407e-05,1.80279406e-03,6.79309753e-01,1.10789044e-06,2.83157994e-01,2.54437835e-02,1.72079027e-05,2.24378165e-02,6.54886504e-04,6.68287203e-01
9.25000000e-07,5.40551109e-06,2.93063480e-01,2.56196817e-02,7.37375464e-07,1.10909597e-05,1.80618720e-03,6.79493418e-01,1.11435011e-06,2.82796168e-01,2.55992200e-02,1.72613782e-05,2.24313009e-02,6.56042603e-04,6.68498893e-01
9.35000000e-07,5.43639280e-06,2.92732530e-01,2.57657509e-02,7.39298356e-07,1.10942668e-05,1.80953735e-03,6.79674912e-01,1.12076726e-06,2.82438145e-01,2.57537559e-02,1.73142516e-05,2.24247130e-02,6.57184301e-04,6.68707767e-01
9.45000000e-07,5.46707420e-06,2.92404523e-01,2.59110480e-02,7.41202541e-07,1.10973691e-05,1.81284544e-03,6.79854278e-01,1.12714256e-06,2.82083844e-01,2.59074055e-02,1.73665343e-05,2.24180554e-02,6.58311903e-04,6.68913890e-01
9.55000000e-07,5.49755839e-06,2.92079405e-01,2.60555839e-02,7.43088305e-07,1.11002732e-05,1.81611237e-03,6.80031558e-01,1.13347665e-06,2.81733185e-01,2.60601823e-02,1.74182374e-05,2.24113305e-02,6.59425705e-04,6.69117325e-01
9.65000000e-07,5.52784838e-06,2.91757125e-01,2.61993692e-02,7.44955925e-07,1.11029856e-05,1.81933900e-03,6.80206791e-01,1.13977018e-06,2.81386090e-01,2.62120997e-02,1.74693718e-05,2.24045409e-02,6.60525995e-04,6.69318134e-01
9.75000000e-07,5.55794710e-06,2.91437634e-01,2.63424142e-02,7.46805673e-07,1.11055125e-05,1.82252620e-03,6.80380016e-01,1.14602376e-06,2.81042486e-01,2.63631709e-02,1.75199478e-05,2.23976888e-02,6.61613051e-04,6.69516375e-01
9.85000000e-07,5.58785743e-06,2.91120881e-01,2.64847290e-02,7.48637816e-07,1.11078600e-05,1.82567477e-03,6.80551271e-01,1.15223801e-06,2.80702301e-01,2.65134084e-02,1.75699756e-05,2.23907765e-02,6.62687142e-04,6.69712105e-01
